,season,lg,type,number_tm,position,player,age,tm,seas_id,player_id
4374,1966,NBA,All-NBA,1st,G,Jerry West,27,LAL,2911,710
4375,1966,NBA,All-NBA,1st,C,Wilt Chamberlain,29,PHI,2984,699
4376,1966,NBA,All-NBA,1st,F,Rick Barry,21,SFW,2956,856
4377,1966,NBA,All-NBA,2nd,C,Bill Russell,31,BOS,2865,610
4378,1966,NBA,All-NBA,2nd,G,Sam Jones,32,BOS,2964,652
4379,1966,NBA,All-NBA,2nd,F,John Havlicek,25,BOS,2926,778
4380,1966,NBA,All-NBA,2nd,G,Hal Greer,29,PHI,2903,666
4381,1966,NBA,All-NBA,2nd,F,Gus Johnson,27,BAL,2901,797
4382,1966,NBA,All-Rookie,1st,,Rick Barry,21,SFW,2956,856
4383,1966,NBA,All-Rookie,1st,,Billy Cunningham,22,PHI,2866,842
4384,1966,NBA,All-Rookie,1st,,Tom Van Arsdale,22,DET,2972,860
4385,1966,NBA,All-Rookie,1st,,Dick Van Arsdale,22,NYK,2885,846
4386,1966,NBA,All-Rookie,1st,,Fred Hetzel,23,SFW,2893,847
4392,1965,NBA,All-Rookie,1st,,Howard Komives,23,NYK,2779,822
4393,1965,NBA,All-Rookie,1st,,Luke Jackson,23,PHI,2810,3542
4394,1965,NBA,All-Rookie,1st,,Willis Reed,22,NYK,2847,839
4395,1965,NBA,All-Rookie,1st,,Jim Barnes,23,NYK,2789,825
4396,1965,NBA,All-Rookie,1st,,Joe Caldwell,23,DET,2791,826
4397,1965,NBA,All-Rookie,1st,,Wali Jones,22,BAL,2838,837
4402,1964,NBA,All-Rookie,1st,,Art Heyman,22,NYK,2589,792
4403,1964,NBA,All-Rookie,1st,,Gus Johnson,25,BAL,2642,797
4404,1964,NBA,All-Rookie,1st,,Jerry Lucas,23,CIN,2652,801
4405,1964,NBA,All-Rookie,1st,,Nate Thurmond,22,SFW,2688,809
4406,1964,NBA,All-Rookie,1st,,Rod Thorn,22,BAL,2700,811
4407,1963,NBA,All-Rookie,1st,,Chet Walker,22,SYR,2476,762
4408,1963,NBA,All-Rookie,1st,,Dave DeBusschere,22,DET,2486,767
4409,1963,NBA,All-Rookie,1st,,John Havlicek,22,BOS,2526,778
4410,1963,NBA,All-Rookie,1st,,Zelmo Beaty,23,STL,2584,791
